"name","class","semester","year","age","address","major","height","ideal_ht","fastest","sleep","seat","love_first","extra_life","sex","random","surprise","link","latitude","longitude","time"
"Homer",NA,NA,NA,52,"198 Hiawatha Trail, Georgetown KY 40324, USA","Philosophy",74.8,74.8,85,7,"front","yes","yes","male","4","I read Sanskrit.","http://statistics.georgetowncollege.edu",38.2000327,-84.5654419,2015-06-29 15:34:13
"Batman","mat111","Fall","2015",44,"400 East College Street, Georgetown KY 40324 USA","Criminal Justice",68,70,171,1.5,"back","no","yes","male","5","I fight crime by night.","http://google.com",38.2074086326095,-84.5568157420935,2015-06-29 15:37:08
"Catwoman","mat111","Fall","2015",27,"101 West Main Street Georgetown KY 40324 USA","Criminal Justice",65,66,149,7.5,"back","yes","no","female","1","I have no surprises","http://google.com",38.2101955078251,-84.5599829218723,2015-06-29 15:50:33
"Joker","mat111","Spring","2016",31,"418 Fountain Road Georgetown, KY 40324 USA","Business",69,70.5,155,2.5,"middle","yes","yes","male","7","I have no surprises","http://google.com",38.2053027503437,-84.5501339036591,2015-06-29 16:22:44
"Riddler","mat111","Spring","2016",38,"101 West  Main Street Georgetown KY 40324 USA","Criminal Justice",67.5,64,162,10,"middle","no","yes","male","7","I have no surprises","http://google.com",38.2101689627349,-84.5600231946178,2015-06-29 16:25:50
"person","mat111","Fall","2015",18,"409 Fountain Avenue, Georgetown KY 40324 USA","Athletic Training",71.5,69,107,5.5,"front","no",NA,"female","7","I have no surprises","http://google.com",38.2057796794959,-84.5502518604014,2015-06-29 17:13:41
"new","yo","Fall","2016",18,"204 Hiawatha Trail, Georgetown, KY 40324","Athletic Training",66,66,70,7,NA,NA,NA,"female","3","I have no surprises","http://google.com",38.2001488588408,-84.566359443939,2015-06-29 17:15:07
"person2","mat170a","Spring","2015",21,"200 East Main Street, Georgetown KY 40324 USA","Biology",66,67.5,127,2,"back","no","yes","male","3","I have no surprises","http://google.com",38.2096725162723,-84.5576955252458,2015-06-29 18:20:59
"person4","mat111","Spring","2015",22,"200 North Broadway, Georgetown, KY 40324 USA","Biology",68,68.5,104,5,"front","yes","no","female","8","I have no surprises","http://google.com",38.2116937992757,-84.5596315639998,2015-06-29 21:00:41
"person5","mat179a","Spring","2016",24,"200 Clayton Avenue, Georgetown KY 40324 USA","Math",68.5,67,109,4.5,"middle","yes","yes","male","5","I have no surprises","http://google.com",38.2043894991701,-84.5584480078937,2015-06-29 21:14:50
